,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.988,9.848857801796104,0.988,0.0,0.012,10.214820410648795
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.608,13.379088160259652,0.608,0.0,0.392,15.265726609200012
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.92,18.920887928424502,0.92,0.0,0.07999999999999999,19.889011862014126
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.853,14.866068747318506,0.853,0.0,0.14700000000000002,16.092606009527593
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.769,10.295630140987,0.769,0.0,0.231,13.0630932947527
