,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.015747299999929965
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.013445900010992773
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.009696699999039993
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009964299999410287
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.01029569999082014
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.010238599992590025
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009812699994654395
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.009037400013767183
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.009159099994576536
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009012099995743483
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.009187400006339885
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.00879329998861067
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.00920359999872744
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009269200003473088
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.009453799997572787
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.00946010000188835
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009046299994224682
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009146199998212978
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.008918600011384115
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.008789299987256527
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.008746300009079278
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.008948300004703924
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.008670600000186823
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.0092614000022877
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.009299800003645942
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.00864059999003075
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.010458999997354113
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,3.0,5.0990195135927845,0.16799999999999993,5.0990195135927845,0.168,0.0,0.8320000000000001,30.24737526416565,0.008919999992940575
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,3.0,7.810249675906654,0.132,7.810249675906654,0.132,0.0,0.868,32.07745702801016,0.008799399991403334
