,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,5.0,2.0,17.0,1.0,1.5,3.0,0.26,3.0,0.26,0.0,0.74,5.512643551110452
0,5.0,2.0,19.0,1.0,1.5,2.449489742783178,0.915,2.449489742783178,0.915,0.0,0.085,2.7066019035816247
0,5.0,2.0,17.0,1.0,1.5,3.0,0.26,3.0,0.26,0.0,0.74,5.512643551110452
0,5.0,2.0,31.0,1.0,1.5,5.0,0.44299999999999995,5.0,0.443,0.0,0.557,5.055885801452433
0,5.0,2.0,29.0,1.0,1.5,3.1622776601683795,0.999,3.1622776601683795,0.999,0.0,0.001,3.1673615937594466
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.886,3.7416573867739413,0.886,0.0,0.11399999999999999,3.9995043129325403
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.886,3.7416573867739413,0.886,0.0,0.11399999999999999,3.9995043129325403
0,6.0,2.0,61.0,1.0,1.5,4.358898943540674,0.26,4.358898943540674,0.26,0.0,0.74,5.763427274619261
0,6.0,2.0,37.0,1.0,1.5,2.8284271247461903,0.922,2.8284271247461903,0.922,0.0,0.078,3.0706901395491917
0,6.0,2.0,41.0,1.0,1.5,4.123105625617661,0.495,4.123105625617661,0.495,0.0,0.505,4.183470831675981
0,7.0,2.0,127.0,1.0,1.5,5.0990195135927845,0.82,5.0990195135927845,0.82,0.0,0.18000000000000002,5.173765444617161
0,7.0,2.0,71.0,1.0,1.5,3.7416573867739413,0.991,3.7416573867739413,0.991,0.0,0.009000000000000001,3.7687250285446807
0,7.0,2.0,113.0,1.0,1.5,3.605551275463989,0.899,3.605551275463989,0.899,0.0,0.101,3.910829699505631
0,7.0,2.0,79.0,1.0,1.5,4.123105625617661,0.529,4.123105625617661,0.529,0.0,0.471,4.287498910756544
0,7.0,2.0,83.0,1.0,1.5,4.0,0.817,4.0,0.817,0.0,0.183,4.260510214191248
0,8.0,3.0,197.0,1.0,1.5,4.0,0.607,4.0,0.607,0.0,0.39300000000000007,4.5563438459773
0,8.0,3.0,191.0,1.0,1.5,3.605551275463989,0.757,3.605551275463989,0.757,0.0,0.24300000000000002,4.155955028641168
0,8.0,3.0,163.0,1.0,1.5,4.242640687119285,0.3899999999999999,4.242640687119285,0.39,0.0,0.6100000000000001,4.7271586150758615
0,8.0,3.0,181.0,1.0,1.5,3.605551275463989,0.784,3.605551275463989,0.784,0.0,0.21600000000000003,4.0500680052855635
0,8.0,3.0,211.0,1.0,1.5,4.58257569495584,0.5650000000000001,4.58257569495584,0.565,0.0,0.43499999999999994,4.85983544164613
0,9.0,3.0,383.0,1.0,1.5,4.242640687119285,0.895,4.242640687119285,0.895,0.0,0.105,4.397342544422929
0,9.0,3.0,443.0,1.0,1.5,4.69041575982343,0.2849999999999999,4.69041575982343,0.285,0.0,0.7150000000000001,4.985385575309788
0,9.0,3.0,457.0,1.0,1.5,4.58257569495584,0.3929999999999999,4.58257569495584,0.393,0.0,0.6070000000000001,5.055556928443508
0,9.0,3.0,463.0,1.0,1.5,4.58257569495584,0.3929999999999999,4.58257569495584,0.393,0.0,0.6070000000000001,5.055556928443508
0,9.0,3.0,421.0,1.0,1.5,4.47213595499958,0.667,4.47213595499958,0.667,0.0,0.333,4.884857532595442
0,10.0,3.0,857.0,1.0,1.5,4.69041575982343,0.776,4.69041575982343,0.776,0.0,0.224,4.839444645348737
0,10.0,3.0,727.0,1.0,1.5,5.0,0.5509999999999999,5.0,0.551,0.0,0.449,5.243639954148696
0,10.0,3.0,907.0,1.0,1.5,5.0,0.764,5.0,0.606,0.0,0.236,5.289002065320439
0,10.0,3.0,953.0,1.0,1.5,5.0,0.534,5.0,0.534,0.0,0.466,5.391403628266072
0,10.0,3.0,967.0,1.0,1.5,5.0,0.534,5.0,0.534,0.0,0.466,5.391403628266072
0,11.0,3.0,1471.0,1.0,1.5,5.477225575051661,0.4129999999999999,5.477225575051661,0.413,0.0,0.5870000000000001,5.902791561819601
0,11.0,3.0,1033.0,1.0,1.5,5.385164807134504,0.17999999999999994,5.385164807134504,0.18,0.0,0.8200000000000001,5.605356691862578
0,11.0,3.0,1259.0,1.0,1.5,5.385164807134504,0.506,5.385164807134504,0.506,0.0,0.494,5.695993991385959
0,11.0,3.0,1609.0,1.0,1.5,5.291502622129181,0.6219999999999999,5.291502622129181,0.622,0.0,0.37800000000000006,5.7315941675730455
0,11.0,3.0,1877.0,1.0,1.5,5.385164807134504,0.127,5.385164807134504,0.127,0.0,0.873,6.702903012891394
0,12.0,3.0,4013.0,1.0,1.5,6.082762530298219,0.363,6.082762530298219,0.363,0.0,0.637,6.320231253558956
0,12.0,3.0,3701.0,1.0,1.5,6.0,0.584,6.0,0.584,0.0,0.41600000000000004,6.185659701156976
0,12.0,3.0,2707.0,1.0,1.5,5.477225575051661,0.4829999999999999,5.477225575051661,0.483,0.0,0.5170000000000001,6.004038427738199
0,12.0,3.0,3137.0,1.0,1.5,5.744562646538029,0.703,5.744562646538029,0.703,0.0,0.29700000000000004,6.051460781354992
0,12.0,3.0,3137.0,1.0,1.5,5.744562646538029,0.703,5.744562646538029,0.703,0.0,0.29700000000000004,6.051460781354992
0,13.0,3.0,4507.0,1.0,1.5,6.082762530298219,0.5049999999999999,6.082762530298219,0.505,0.0,0.49500000000000005,6.284464217020515
0,13.0,3.0,6961.0,1.0,1.5,6.082762530298219,0.606,6.082762530298219,0.606,0.0,0.394,6.475157257032375
0,13.0,3.0,4597.0,1.0,1.5,6.48074069840786,0.43000000000000005,6.244997998398398,0.407,0.407,0.163,6.431191151328444
0,13.0,3.0,7451.0,1.0,1.5,6.708203932499369,0.5489999999999999,6.48074069840786,0.196,0.196,0.255,6.785789784589279
0,13.0,3.0,7589.0,1.0,1.5,6.4031242374328485,0.497,6.4031242374328485,0.497,0.0,0.503,6.701379184677354
0,14.0,4.0,15107.0,1.0,1.5,5.477225575051661,0.5449999999999999,5.385164807134504,0.162,0.162,0.29300000000000004,5.660106774808715
0,14.0,4.0,9109.0,1.0,1.5,4.58257569495584,0.2809999999999999,4.58257569495584,0.281,0.0,0.7190000000000001,5.41314315910496
0,14.0,4.0,8923.0,1.0,1.5,4.58257569495584,0.2809999999999999,4.58257569495584,0.281,0.0,0.7190000000000001,5.41314315910496
0,14.0,4.0,15887.0,1.0,1.5,5.385164807134504,0.12399999999999989,5.385164807134504,0.124,0.0,0.8760000000000001,5.940636823428972
0,14.0,4.0,9901.0,1.0,1.5,5.477225575051661,0.6459999999999999,5.477225575051661,0.242,0.0,0.35400000000000004,5.630985178339687
0,15.0,4.0,30071.0,1.0,1.5,5.830951894845301,0.381,5.830951894845301,0.207,0.0,0.619,6.0494663681480425
0,15.0,4.0,20749.0,1.0,1.5,5.477225575051661,0.4179999999999999,5.477225575051661,0.418,0.0,0.5820000000000001,5.796143473708952
0,15.0,4.0,27067.0,1.0,1.5,5.0,0.893,5.0,0.893,0.0,0.107,5.139365802145316
0,15.0,4.0,19793.0,1.0,1.5,5.5677643628300215,0.22999999999999987,5.477225575051661,0.269,0.269,0.5010000000000001,5.840193186049289
0,15.0,4.0,26249.0,1.0,1.5,5.0990195135927845,0.706,5.0990195135927845,0.706,0.0,0.29400000000000004,5.325704872971503
0,16.0,4.0,43411.0,1.0,1.5,5.5677643628300215,0.2919999999999999,5.5677643628300215,0.292,0.0,0.7080000000000001,6.224135578252444
0,16.0,4.0,56099.0,1.0,1.5,5.385164807134504,0.7729999999999999,5.385164807134504,0.773,0.0,0.22700000000000004,5.713584264093677
0,16.0,4.0,42533.0,1.0,1.5,5.830951894845301,0.381,5.830951894845301,0.21,0.0,0.619,6.305969375931917
0,16.0,4.0,59879.0,1.0,1.5,6.082762530298219,0.6139999999999999,6.082762530298219,0.314,0.0,0.38600000000000007,6.3121140555178625
0,16.0,4.0,56081.0,1.0,1.5,5.385164807134504,0.7729999999999999,5.385164807134504,0.773,0.0,0.22700000000000004,5.713584264093677
0,17.0,4.0,84509.0,1.0,1.5,6.164414002968976,0.22999999999999998,6.082762530298219,0.226,0.226,0.544,6.514378711782227
0,17.0,4.0,88609.0,1.0,1.5,5.830951894845301,0.6589999999999999,5.830951894845301,0.659,0.0,0.3410000000000001,6.134098202680521
0,17.0,4.0,130409.0,1.0,1.5,6.0,0.4159999999999999,6.0,0.416,0.0,0.5840000000000001,6.298295723529696
0,17.0,4.0,76303.0,1.0,1.5,5.744562646538029,0.1469999999999999,5.744562646538029,0.147,0.0,0.8530000000000001,6.4135270403293125
0,17.0,4.0,119699.0,1.0,1.5,6.48074069840786,0.10399999999999987,6.324555320336759,0.276,0.276,0.6200000000000001,6.641561054142769
0,18.0,4.0,243911.0,1.0,1.5,6.708203932499369,0.3999999999999999,6.708203932499369,0.304,0.0,0.6000000000000001,6.87698867631314
0,18.0,4.0,227131.0,1.0,1.5,6.4031242374328485,0.755,6.4031242374328485,0.573,0.0,0.24500000000000002,6.656206041771619
