,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.02066670000203885
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.018311599997105077
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.021726299994043075
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.018363899987889454
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.01508950001152698
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.014402699991478585
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013720399991143495
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.014029099998879246
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013182399998186156
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013446700002532452
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.07987270000739954
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013105700010783039
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.012978300001122989
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.012904100003652275
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013171700004022568
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013607200002297759
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.01301209999655839
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013308800000231713
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013726699995459057
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013688899998669513
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013139200003934093
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013525399990612641
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.014201300000422634
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013022600003750995
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.012718499987386167
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.013035399999353103
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013179100002162158
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.012669399991864339
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,6.0,5.0990195135927845,0.31100000000000005,5.0990195135927845,0.311,0.0,0.689,30.971032965721218,0.012814200003049336
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,6.0,7.810249675906654,0.10100000000000009,7.810249675906654,0.101,0.0,0.8989999999999999,31.291159752830122,0.013088200008496642
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.019010400006663986
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.01823250000597909
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,6.0,21.77154105707724,0.15899999999999992,21.77154105707724,0.159,0.0,0.8410000000000001,26.745767212228827,0.014085999995586462
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,6.0,16.61324772583615,0.346,16.61324772583615,0.346,0.0,0.654,27.46594497552723,0.01433829999587033
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,6.0,21.77154105707724,0.15899999999999992,21.77154105707724,0.159,0.0,0.8410000000000001,26.745767212228827,0.015780300003825687
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,6.0,21.77154105707724,0.15899999999999992,21.77154105707724,0.159,0.0,0.8410000000000001,26.745767212228827,0.013867599991499446
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,6.0,11.224972160321824,0.362,11.224972160321824,0.362,0.0,0.638,27.154502424573824,0.01491600000008475
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.012836500012781471
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,6.0,11.224972160321824,0.362,11.224972160321824,0.362,0.0,0.638,27.154502424573824,0.013449599995510653
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.01391959999455139
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,6.0,11.224972160321824,0.362,11.224972160321824,0.362,0.0,0.638,27.154502424573824,0.014197299999068491
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,6.0,16.61324772583615,0.346,16.61324772583615,0.346,0.0,0.654,27.46594497552723,0.013842999993357807
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.013216799998190254
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.013041900005191565
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.012949600000865757
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.013060600002063438
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.013031900001806207
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,6.0,9.899494936611665,0.09800000000000009,9.899494936611665,0.098,0.0,0.9019999999999999,32.916925764258785,0.01329740000073798
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.013076200004434213
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,6.0,11.224972160321824,0.362,11.224972160321824,0.362,0.0,0.638,27.154502424573824,0.012829899991629645
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,6.0,18.411952639521967,0.42100000000000004,18.411952639521967,0.421,0.0,0.579,25.58063842860314,0.012728899993817322
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,6.0,16.61324772583615,0.346,16.61324772583615,0.346,0.0,0.654,27.46594497552723,0.01317070001095999
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,6.0,11.224972160321824,0.362,11.224972160321824,0.362,0.0,0.638,27.154502424573824,0.013697199989110231
