,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.0026000000000000467,5.0990195135927845,0.0026,0.0,0.9974,47.310967753516195,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.0026000000000000467,5.0990195135927845,0.0026,0.0,0.9974,47.310967753516195,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.0026000000000000467,5.0990195135927845,0.0026,0.0,0.9974,47.310967753516195,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.0026000000000000467,5.0990195135927845,0.0026,0.0,0.9974,47.310967753516195,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.0026000000000000467,5.0990195135927845,0.0026,0.0,0.9974,47.310967753516195,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.29180000000000006,7.810249675906654,0.2918,0.0,0.7081999999999999,27.675564947663187,25.0
