,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.010065599999506958
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.009399700007634237
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.009894500006339513
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.012142299994593486
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.009370799991302192
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.007051299995509908
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.007035700007691048
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.007400799993774854
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.007546299995738082
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.007141900001442991
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.006264499999815598
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,1.0,7.810249675906654,0.11599999999999999,7.810249675906654,0.116,0.0,0.884,31.657720982278914,0.0070647999964421615
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,1.0,5.0990195135927845,0.373,5.0990195135927845,0.373,0.0,0.627,29.665823235051707,0.0066073000052710995
