,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.022317099996143952
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.019768999991356395
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.016032700004871003
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.017677600000752136
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.016328199999406934
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.015398599993204698
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.01479599998856429
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014445399996475317
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014515399991068989
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014975400001276284
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.014652899990323931
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.014927299998817034
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014632399994297884
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.014674100006232038
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014724299995577894
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014190900008543395
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014907699995092116
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014871899998979643
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.014573000007658266
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.015273799988790415
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.015050500005600043
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014521099990815856
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014572100000805221
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.014534200003254227
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.01440329999604728
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014169000001857057
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.01487739999720361
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.014324200004921295
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,7.0,7.810249675906654,0.14700000000000002,7.810249675906654,0.147,0.0,0.853,30.251476720053127,0.015005900000687689
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,7.0,5.0990195135927845,0.09799999999999998,5.0990195135927845,0.098,0.0,0.902,34.15849728273193,0.017803800001274794
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.02069280001160223
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.018956499989144504
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,7.0,16.61324772583615,0.02300000000000002,16.61324772583615,0.023,0.0,0.977,28.526204563601077,0.016557199996896088
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,7.0,18.411952639521967,0.471,18.411952639521967,0.471,0.0,0.529,27.61368506129578,0.0172071999986656
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.017447999998694286
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,7.0,16.61324772583615,0.02300000000000002,16.61324772583615,0.023,0.0,0.977,28.526204563601077,0.014978099992731586
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.08295690000522882
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,7.0,16.61324772583615,0.02300000000000002,16.61324772583615,0.023,0.0,0.977,28.526204563601077,0.015330499998526648
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,7.0,16.61324772583615,0.02300000000000002,16.61324772583615,0.023,0.0,0.977,28.526204563601077,0.014394700003322214
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.014281399999163114
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.01644190000661183
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.014469000001554377
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.015461300004972145
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.015377999996417202
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.01512709999224171
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.014140700004645623
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.014595999993616715
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014533899986417964
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.014199500001268461
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014184700004989281
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014521499993861653
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014585700002498925
0,5.0,2.0,2.0123333701610173,17.0,1.0,3.0,7.0,18.411952639521967,0.471,18.411952639521967,0.471,0.0,0.529,27.61368506129578,0.015044800005853176
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.014686800001072697
0,5.0,2.0,2.035657788799144,19.0,1.0,3.0,7.0,21.77154105707724,0.385,21.77154105707724,0.385,0.0,0.615,25.64385929681381,0.014776500000152737
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.014620999994804151
0,5.0,2.0,2.077449667613865,23.0,1.0,3.0,7.0,11.224972160321824,0.43999999999999995,11.224972160321824,0.44,0.0,0.56,25.694395946138375,0.015124900004593655
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014883600000757724
0,5.0,2.0,2.1459268775660676,31.0,1.0,3.0,7.0,16.61324772583615,0.02300000000000002,16.61324772583615,0.023,0.0,0.977,28.526204563601077,0.014456900011282414
0,5.0,2.0,2.1303599932569632,29.0,1.0,3.0,7.0,9.899494936611665,0.11399999999999999,9.899494936611665,0.114,0.0,0.886,31.98889608849301,0.014412199991056696
0,6.0,2.0,2.274779345153178,53.0,1.0,3.0,7.0,11.916375287812984,0.06299999999999994,11.916375287812984,0.063,0.0,0.937,25.73817881102384,0.020588899991707876
0,6.0,2.0,2.187805368582894,37.0,1.0,3.0,7.0,6.4031242374328485,0.1299999999999999,6.4031242374328485,0.13,0.0,0.8700000000000001,31.116818733513508,0.020641499999328516
0,6.0,2.0,2.223915965551539,43.0,1.0,3.0,7.0,11.224972160321824,0.15800000000000003,11.224972160321824,0.158,0.0,0.842,34.43447168679337,0.016626299999188632
0,6.0,2.0,2.3010853675361673,59.0,1.0,3.0,7.0,19.0,0.07299999999999995,19.0,0.073,0.0,0.927,29.52045338277536,0.016370100012863986
0,6.0,2.0,2.223915965551539,43.0,1.0,3.0,7.0,11.224972160321824,0.15800000000000003,11.224972160321824,0.158,0.0,0.842,34.43447168679337,0.01598999999987427
0,6.0,2.0,2.245475794972441,47.0,1.0,3.0,7.0,13.601470508735444,0.13,13.601470508735444,0.13,0.0,0.87,34.665816014891575,0.016469900001538917
0,6.0,2.0,2.187805368582894,37.0,1.0,3.0,7.0,6.4031242374328485,0.1299999999999999,6.4031242374328485,0.13,0.0,0.8700000000000001,31.116818733513508,0.014389699994353577
0,6.0,2.0,2.309286983124155,61.0,1.0,3.0,7.0,20.273134932713294,0.0129999999999999,20.273134932713294,0.013,0.0,0.9870000000000001,28.28459236003695,0.015548399998806417
0,6.0,2.0,2.187805368582894,37.0,1.0,3.0,7.0,6.4031242374328485,0.1299999999999999,6.4031242374328485,0.13,0.0,0.8700000000000001,31.116818733513508,0.014613399995141663
0,6.0,2.0,2.3010853675361673,59.0,1.0,3.0,7.0,19.0,0.07299999999999995,19.0,0.073,0.0,0.927,29.52045338277536,0.014977999991970137
0,6.0,2.0,2.212425520617858,41.0,1.0,3.0,7.0,18.49324200890693,0.21399999999999997,18.49324200890693,0.214,0.0,0.786,28.18104283023417,0.016169800001080148
0,6.0,2.0,2.223915965551539,43.0,1.0,3.0,7.0,11.224972160321824,0.15800000000000003,11.224972160321824,0.158,0.0,0.842,34.43447168679337,0.01474259998940397
