,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.5122,7.810249675906654,0.5122,0.0,0.4878,20.847896793790575,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.3340000000000001,5.0990195135927845,0.334,0.0,0.6659999999999999,25.968288688558246,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.08760000000000001,21.77154105707724,0.0876,0.0,0.9124,27.06430068238073,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.7916000000000001,16.61324772583615,0.7916,0.0,0.20839999999999997,19.49947766234171,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.08760000000000001,21.77154105707724,0.0876,0.0,0.9124,27.06430068238073,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.7916000000000001,16.61324772583615,0.7916,0.0,0.20839999999999997,19.49947766234171,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.08760000000000001,21.77154105707724,0.0876,0.0,0.9124,27.06430068238073,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.31210000000000004,18.411952639521967,0.3121,0.0,0.6879,24.880272145268208,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.7916000000000001,16.61324772583615,0.7916,0.0,0.20839999999999997,19.49947766234171,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.6516,11.224972160321824,0.6516,0.0,0.34840000000000004,18.671356121573325,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.7916000000000001,16.61324772583615,0.7916,0.0,0.20839999999999997,19.49947766234171,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.08760000000000001,21.77154105707724,0.0876,0.0,0.9124,27.06430068238073,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.08760000000000001,21.77154105707724,0.0876,0.0,0.9124,27.06430068238073,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.6084,9.899494936611665,0.6084,0.0,0.39159999999999995,20.605318508162966,25.0
