,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,5.0,7.810249675906654,0.28900000000000003,7.810249675906654,0.289,0.0,0.711,27.669776888318086,0.018257500007166527
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,5.0,5.0990195135927845,0.15800000000000003,5.0990195135927845,0.158,0.0,0.842,38.06555310476487,0.016283200006000698
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,5.0,5.0990195135927845,0.15800000000000003,5.0990195135927845,0.158,0.0,0.842,38.06555310476487,0.01298329999553971
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,5.0,7.810249675906654,0.28900000000000003,7.810249675906654,0.289,0.0,0.711,27.669776888318086,0.014089300006162375
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,5.0,5.0990195135927845,0.15800000000000003,5.0990195135927845,0.158,0.0,0.842,38.06555310476487,0.013923499995144084
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,5.0,7.810249675906654,0.28900000000000003,7.810249675906654,0.289,0.0,0.711,27.669776888318086,0.012933699996210635
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,5.0,5.0990195135927845,0.15800000000000003,5.0990195135927845,0.158,0.0,0.842,38.06555310476487,0.012103999993996695
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,5.0,7.810249675906654,0.28900000000000003,7.810249675906654,0.289,0.0,0.711,27.669776888318086,0.012148199995863251
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,5.0,5.0990195135927845,0.15800000000000003,5.0990195135927845,0.158,0.0,0.842,38.06555310476487,0.012372299999697134
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,5.0,7.810249675906654,0.28900000000000003,7.810249675906654,0.289,0.0,0.711,27.669776888318086,0.011619799988693558
