Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
198,26,25.85532737005032,213373900862023381734883658611502598570428868945951449885197,1,3,10,40.39801975344831,0.0045000000000796625,40.36087214122113,0.0035,0.0072,0.9882999999999204,43.390104051162155,99.6049896100003
198,26,25.89656174143487,279167663514199366613726791346237147848404349076443566886901,1,3,10,40.43513323831146,0.008800000000075858,40.39801975344831,0.0063,0.0063,0.9848999999999242,43.59108506504283,99.75327569900037
198,26,25.86281722531351,224047788479505537981023387709163725831532318751060309336069,1,3,10,40.26164427839479,0.004500000000080884,40.26164427839479,0.0045,0,0.9954999999999191,43.310826492583466,99.64311075800015
206,27,26.797534206154214,101040042059102672017581573604175114465596031198156904242169403,1,3,10,37.1887079635741,0.01210000000008038,37.17526059088221,0.0021,0.0021,0.9857999999999196,41.6863487107348,214.44010571800027
206,27,26.79870318682403,101817709914427455132767430384722702117562642826770382439180711,1,3,10,37.013511046643494,0.018600000000078665,37.013511046643494,0.0186,0,0.9813999999999213,41.5999245720155,214.2245271669999
206,27,26.700787086689513,53579890056061185626870916058433786463739905559881288694540087,1,3,10,37.33630940518894,0.003000000000076386,36.851051545376556,0.0037,0.049700000000000015,0.9472999999999236,40.58683267240986,214.1133492480003
206,27,26.712422695014897,57826293205983979697600520732423601367334415892159206690598257,1,3,10,36.90528417449187,0.008300000000079466,36.90528417449187,0.0042,0,0.9916999999999205,41.01978538851623,214.30431182899974
206,27,26.79688379114256,100609928851139312412671614771025103192765814832771433524216657,1,3,10,37.1887079635741,0.00670000000007942,37.134889255254286,0.0015,0.0054,0.9878999999999206,41.58403768608197,214.46749989700038
206,27,26.79532983675837,99589719357486353884906704558900648128733173023484720170315937,1,3,10,37.21558813185679,0.0039000000000805057,37.14835124201342,0.0015,0.002,0.9940999999999195,42.268423451095714,215.89675808399988
206,27,26.756651710813173,77278236115911476865269902073186474422169280308148440025757229,1,3,10,37.107950630558946,0.009300000000079023,37.080992435478315,0.0043,0.0043,0.986399999999921,42.351535828687446,216.78502963400024
206,27,26.763516638622907,80836370670302409291019094196139264391489430676561593430727347,1,3,10,37.242448899072144,0.0055000000000803295,37.20215047547655,0.0008,0.0008,0.9936999999999196,41.918644599995524,216.79126515200005
206,27,26.751371204162695,74648354429746267228348763704177036117052938080935168733401843,1,3,10,37.05401462729781,0.009400000000079456,37.05401462729781,0.0094,0,0.9905999999999205,42.931981091400054,214.74199082000086
214,28,27.581548124054855,17517511363552611758760915779294155992787919912563960584986364581,1,3,10,37.456641600656084,0.0017000000000927384,37.44329045369811,0.0017,0.0017,0.9965999999999072,43.335423569517346,453.5321625839997
214,28,27.57423624650554,16693163040460665234328298234179722034709072375762975183405404861,1,3,10,37.61648574760805,0.0011000000000875865,37.53664875824692,0.0016,0.0104,0.9884999999999124,42.71480452976135,452.91440987200076
214,28,27.608218505934698,20885146953341575281087158437680741520458239578377134916111434503,1,3,10,37.5099986670221,0.0019000000000922723,37.5099986670221,0.0019,0,0.9980999999999077,42.92533111887873,452.18693673899907
214,28,27.558175431531385,15016207344017426713405402506933027528651157684426121505544250243,1,3,10,37.49666651850535,0.0018000000000879535,37.403208418530085,0.0018,0.0033,0.9948999999999121,43.234271775979224,452.63863850600137
214,28,27.585572429036954,17988474644555248997451437168592902903739876054361307340148556489,1,3,10,37.403208418530085,0.006500000000087325,37.403208418530085,0.0065,0,0.9934999999999127,42.51428417473276,455.36682203500095
214,28,27.576578310927236,16952892820252075170535899842097071148370629081971794672566135173,1,3,10,37.49666651850535,0.0007000000000942919,37.3496987939662,0.0017,0.0025,0.9967999999999058,42.40020972559174,470.7694056920009
214,28,27.609965769604923,21127150150782684001068780291553860123476792877746457779378080759,1,3,10,37.589892258425,0.0013000000000936707,37.589892258425,0.0013,0,0.9986999999999063,44.1622373032983,474.7773243979991
214,28,27.62084370177273,22698215768251527455423004322648449347505026062869662704541042167,1,3,10,37.48332962798263,0.003900000000092607,37.48332962798263,0.0039,0,0.9960999999999074,43.918177474871754,468.95471843000087
214,28,27.576879661711455,16986604363976663817640875726144753727425389614405156457381129929,1,3,10,37.389838191679836,0.0021000000000928054,37.389838191679836,0.0021,0,0.9978999999999072,43.03610388817498,473.1100234959995
222,28,28.471447919641555,6287553260987974886281726201454336828806431959592154989167197708501,1,3,10,38.7556447501522,0.004000000000090487,38.7556447501522,0.004,0,0.9959999999999095,44.8368649451104,479.6406395720005
222,28,28.416906460749235,4380034480453679870923223524309701192995233763420148828814250044937,1,3,10,38.97435053981015,0.0017000000000942928,38.97435053981015,0.0017,0,0.9982999999999057,45.34852378602265,478.72128542000064
222,28,28.43642283887155,4984845431496923139121992500882303124061589873118687170454287530657,1,3,10,38.8329756778952,0.0013700000020763214,38.8329756778952,0.00137,0,0.9986299999979237,44.20590359296071,477.311418194
222,28,28.47989080870575,6649519609337372274504389905308820427470870430074269964225726760843,1,3,10,38.84584919911006,0.002470000002010697,38.84584919911006,0.00247,0,0.9975299999979893,45.0978532391988,463.4690763079998
222,28,28.386386489581028,3578040111347326951077371242396599480892694724565866993969825273133,1,3,10,38.781438859330635,0.0009200000020069821,38.67815921162743,0.00105,0.0021,0.996979999997993,43.48366019124272,450.1546575580014
222,28,28.43431145286833,4915572980203492520438289320900202589580439006258598479499784265581,1,3,10,39.05124837953327,0.0021400000019693444,38.781438859330635,0.00123,0.018049999999999993,0.9798099999980306,44.262091962202305,448.3870735769997
222,28,28.470600673962718,6252336941108559544980565555779406395090369622740149339427314101583,1,3,10,38.66522985836241,0.0026300000020068603,38.66522985836241,0.00263,0,0.9973699999979931,44.58787513266581,447.5650955560013
222,28,28.381279534889753,3458993163032792053338163021015405632803633344422834647430195943169,1,3,10,38.897300677553446,0.001040000002001995,38.781438859330635,0.0017,0.005839999999999999,0.993119999997998,43.847769160003985,449.23626753499957
222,28,28.450952472137278,5488793189950856494688657757210590804018215809547571080553769120979,1,3,10,38.92300091205713,0.0005900000020152563,38.84584919911006,0.00065,0.00065,0.9987599999979847,45.01692969356373,463.556383901001
222,28,28.443819205405614,5235311102237257579812131853978014271418566030759543540606005699023,1,3,10,38.768543949960254,0.0007000000020298547,38.768543949960254,0.0007,0,0.9992999999979701,45.58057049728073,462.12917142399965
222,28,28.45208387721319,5530111664384154991253108808610193908775728670609057143636633927783,1,3,10,38.84584919911006,0.0018600000020281282,38.82009788756334,0.0007,0.0007,0.9974399999979718,44.571179699914964,469.04926156299916
230,29,29.30200570358368,1569667724184835767761238360638033488765811499447473690630660894817757,1,3,10,37.416573867739416,0.0005400000020383544,37.416573867739416,0.00054,0,0.9994599999979616,45.652717392234564,1020.9642939879996
230,29,29.307465072264865,1627816326372092560434793544447424534121667970697323014024714988007907,1,3,10,37.403208418530085,0.0003600000020191896,37.403208418530085,0.00036,0,0.9996399999979808,45.33783974611853,1013.3635623849987
230,29,29.250966626620713,1117227938479990672122659978028033732090284010307520293720445107110649,1,3,10,37.52332607858744,0.00024000000202428762,37.49666651850535,0.00011,0.00011,0.9996499999979757,46.47496892119849,1003.6304281410012
230,29,29.30873321996088,1641629275831224111918988901984752388410878869893396646161205255651333,1,3,10,37.44329045369811,0.00015000000202247676,37.44329045369811,0.00015,0,0.9998499999979775,45.45708651553984,1028.4195698780022
230,29,29.218249839101873,898482116708862243643481614771302174636442068074982706475805401665333,1,3,10,37.376463182061514,0.00017000000204625554,37.296112397943034,0.00028,0.00028,0.9995499999979538,45.48501988059062,1034.4944191499999
230,29,29.277986101077374,1337546115625409132049941270265904986100200100421377881130565068635851,1,3,10,37.5632799419859,0.0003300000020273197,37.389838191679836,0.0009,0.00115,0.9985199999979727,45.290722131228264,1021.7889168660004
230,29,29.231765388788997,983106408169965225449820375459024705390033374733831402985667068417247,1,3,10,37.416573867739416,0.0002200000020495807,37.3496987939662,0.0002,0.00026000000000000003,0.9995199999979504,45.97650046981515,1055.8804907449994
230,29,29.256717398700683,1160854096382878580576458314631018087712368862259283732286119191045947,1,3,10,37.469987990390386,0.00042000000201714016,37.403208418530085,4e-05,0.0007199999999999999,0.9988599999979828,44.43170936611268,1013.3358927529989
230,29,29.31270844441587,1685693181732164422781760560236654677037542225123213538022284586109269,1,3,10,37.70941526992961,0.00011000000197824988,37.5099986670221,0.0001,0.0011600000000000004,0.9987299999980217,45.23112561934551,1001.2599868350007
