,Bit-length,beta,gamma
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.49737009132681453,0.0011186144162126206
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.49737009132681453,0.0011186144162126206
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.48480724591580215,0.0013158030461093346
0,4.0,-0.49737009132681453,0.0011186144162126206
0,4.0,-0.48480724591580215,0.0013158030461093346
0,5.0,0.4997408517853157,-0.0009229844707029575
0,5.0,0.4973531732453041,-0.0006596352973002818
0,5.0,0.4973531732453041,-0.0006596352973002818
0,5.0,0.4975588814946811,-0.0005505481889235689
0,5.0,0.4973531732453041,-0.0006596352973002818
0,5.0,0.4997408517853157,-0.0009229844707029575
0,5.0,-0.48923526253826155,0.0028030446913030463
0,5.0,0.4973531732453041,-0.0006596352973002818
0,5.0,0.4973531732453041,-0.0006596352973002818
0,5.0,0.49432973742262953,-0.0010428095008990829
0,6.0,-0.4969504498427174,0.0012652026677854068
0,6.0,-0.4969504498427174,0.0012652026677854068
0,6.0,-0.4746216896669173,0.0015703595399383507
0,6.0,-0.42981662633691076,0.0023608126473712004
0,6.0,-0.48279652787324395,0.001433668486211501
0,6.0,-0.49912564247196123,0.0007124151369611031
0,6.0,-0.48279652787324395,0.001433668486211501
0,6.0,-0.49912564247196123,0.0007124151369611031
0,6.0,-0.49912564247196123,0.0007124151369611031
0,6.0,-0.49912564247196123,0.0007124151369611031
0,7.0,0.4954920156775413,-0.0011902975097867483
0,7.0,0.4954920156775413,-0.0011902975097867483
0,7.0,0.4979027755380378,-0.0008470769115679264
0,7.0,-0.496113896072878,0.0009654524469032524
0,7.0,-0.4992192776008184,0.001009908807870991
0,7.0,0.49611107996896386,-0.0016617413546641188
0,7.0,-0.496113896072878,0.0009654524469032524
0,7.0,-0.49553748682974286,0.00078232821520118
0,7.0,-0.3594246201546491,0.002890780777685378
0,7.0,-0.3594246201546491,0.002890780777685378
0,8.0,0.39642135318027927,-0.003319219081196647
0,8.0,-0.3813406587697684,0.004679017852588264
0,8.0,0.431307497821553,-0.0031655172522780453
0,8.0,0.2763499611212258,-0.005055014044109547
0,8.0,-0.42122832352050654,0.004078894337080486
0,8.0,0.4515609599978846,-0.002853465269144033
0,8.0,0.35125874317325834,-0.003580404208702864
0,8.0,-0.3556649793962373,0.00413013980333958
0,8.0,0.35125874317325834,-0.003580404208702864
0,8.0,0.3829556107918118,-0.004021091244314257
0,9.0,0.48368933874489745,-0.002923701630271865
0,9.0,0.4520939930579686,-0.0032484508817442696
0,9.0,-0.4253729243891019,0.0037752700443757807
0,9.0,0.35844000435149004,-0.005043813573247808
0,9.0,0.407652407506392,-0.0033245698840048557
0,9.0,-0.4725180530078568,0.0027949856654955847
0,9.0,-0.35973115436862363,0.004219269207486865
0,9.0,-0.430162022748572,0.004117001651622827
