,Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,2.0,7.810249675906654,0.06399999999999995,7.810249675906654,0.064,0.0,0.936,32.86201099785477,0.011435899999924004
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.011699599999701604
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.011938600000576116
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.00966809999954421
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.012054699996951967
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,2.0,7.810249675906654,0.06399999999999995,7.810249675906654,0.064,0.0,0.936,32.86201099785477,0.008770000000367872
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,2.0,7.810249675906654,0.06399999999999995,7.810249675906654,0.064,0.0,0.936,32.86201099785477,0.008642599990707822
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.007937999995192513
0,4.0,2.0,1.932065875547927,11.0,1.0,3.0,2.0,7.810249675906654,0.06399999999999995,7.810249675906654,0.064,0.0,0.936,32.86201099785477,0.008290500001749024
0,4.0,2.0,1.9602935630167246,13.0,1.0,3.0,2.0,5.0990195135927845,0.275,5.0990195135927845,0.275,0.0,0.725,30.36490578076598,0.008365799993043765
