,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,5.0,2.0,29.0,1.0,1.5,3.1622776601683795,0.241,3.1622776601683795,0.241,0.0,0.759,5.958970902318347
0,5.0,2.0,19.0,1.0,1.5,2.449489742783178,0.241,2.449489742783178,0.241,0.0,0.759,5.982045977320418
0,5.0,2.0,31.0,1.0,1.5,5.0,0.241,5.0,0.241,0.0,0.759,5.41246453329876
0,5.0,2.0,19.0,1.0,1.5,2.449489742783178,0.241,2.449489742783178,0.241,0.0,0.759,5.982045977320418
0,5.0,2.0,31.0,1.0,1.5,5.0,0.241,5.0,0.241,0.0,0.759,5.41246453329876
0,6.0,2.0,43.0,1.0,1.5,4.242640687119285,1.0,4.242640687119285,1.0,0.0,0.0,4.242640687119285
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.241,3.7416573867739413,0.241,0.0,0.759,6.047054956044509
0,6.0,2.0,47.0,1.0,1.5,4.242640687119285,0.995,4.242640687119285,0.995,0.0,0.005,4.250664848326063
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.241,3.7416573867739413,0.241,0.0,0.759,6.047054956044509
0,6.0,2.0,61.0,1.0,1.5,4.358898943540674,0.241,4.358898943540674,0.241,0.0,0.759,5.811765841301444
0,7.0,2.0,107.0,1.0,1.5,3.7416573867739413,0.241,3.7416573867739413,0.241,0.0,0.759,6.649539142094409
0,7.0,2.0,89.0,1.0,1.5,4.47213595499958,0.998,4.47213595499958,0.998,0.0,0.002,4.47502384265578
0,7.0,2.0,79.0,1.0,1.5,4.123105625617661,0.5349999999999999,4.123105625617661,0.535,0.0,0.465,4.285404728780254
0,7.0,2.0,89.0,1.0,1.5,4.47213595499958,0.998,4.47213595499958,0.998,0.0,0.002,4.47502384265578
0,7.0,2.0,101.0,1.0,1.5,4.69041575982343,0.241,4.69041575982343,0.241,0.0,0.759,6.057197566914368
0,8.0,3.0,191.0,1.0,1.5,3.605551275463989,0.8180000000000001,3.605551275463989,0.818,0.0,0.182,4.039179865126739
0,8.0,3.0,163.0,1.0,1.5,4.242640687119285,0.546,4.242640687119285,0.546,0.0,0.454,4.490897406403075
0,8.0,3.0,163.0,1.0,1.5,4.242640687119285,0.546,4.242640687119285,0.546,0.0,0.454,4.490897406403075
