,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07320000000000004,5.0990195135927845,0.0732,0.0,0.9268,38.32529079117736,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.1592,7.810249675906654,0.1592,0.0,0.8408,32.43157387218775,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.07540000000000002,16.61324772583615,0.0754,0.0,0.9246,30.712407318832323,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.07540000000000002,16.61324772583615,0.0754,0.0,0.9246,30.712407318832323,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.07540000000000002,16.61324772583615,0.0754,0.0,0.9246,30.712407318832323,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.07540000000000002,16.61324772583615,0.0754,0.0,0.9246,30.712407318832323,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,19.0,1.0,3.0,21.77154105707724,0.14159999999999995,21.77154105707724,0.1416,0.0,0.8584,26.472661117561156,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,31.0,1.0,3.0,16.61324772583615,0.07540000000000002,16.61324772583615,0.0754,0.0,0.9246,30.712407318832323,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
0,5.0,2.0,29.0,1.0,3.0,9.899494936611665,0.05610000000000004,9.899494936611665,0.0561,0.0,0.9439,35.86641977407083,25.0
0,5.0,2.0,23.0,1.0,3.0,11.224972160321824,0.008099999999999996,11.224972160321824,0.0081,0.0,0.9919,31.577674568707952,25.0
0,5.0,2.0,17.0,1.0,3.0,18.411952639521967,0.27649999999999997,18.411952639521967,0.2765,0.0,0.7235,29.48250276069725,25.0
